"","","GOM","WATL","GSL","SATL","NATL","EATL","MED","","GOM","WATL","GSL","SATL","NATL","EATL","MED"
"1","GOM","","","","","","","","","","","","","","",""
"2","WATL","","","","","","","","","","2","","","","",""
"3","GSL","","","","","","","","","","","","","","",""
"4","SATL","","","","1","","","","","","","","","","",""
"5","NATL","","","","","","","","","","","","","","",""
"6","EATL","","","","","","","","","","","","","","",""
"7","MED","","","","","","","14","","","","","","","",""
"8","","","","","","","","","","","","","","","",""
"9","GOM","","","","","","","","","","","","","","",""
"10","WATL","","","","","","","","","","2","","","","",""
"11","GSL","","","","","","","","","","","","","","",""
"12","SATL","","","","1","","","","","","","","","","",""
"13","NATL","","","","","","","","","","","","","","",""
"14","EATL","","","","","","","","","","","","","","",""
"15","MED","","","","","","","5","","","","","","","",""
"16","","","","","","","","","","","","","","","",""
"17","GOM","","","","","","","","","","","","","","",""
"18","WATL","","","","","","","","","","1","","","","",""
"19","GSL","","","","","","","","","","","","","","",""
"20","SATL","","","","","","","","","","","","","","",""
"21","NATL","","","","","","","","","","","","","","",""
"22","EATL","","","","","","","","","","","","","","",""
"23","MED","","","","1","","","38","","","","","","","",""
"24","","","","","","","","","","","","","","","",""
"25","GOM","","","","","","","","","","","","","","",""
"26","WATL","","","","","","","","","","1","","","","",""
"27","GSL","","","","","","","","","","","","","","",""
"28","SATL","","","","1","","","1","","","","","","","",""
"29","NATL","","","","","","","","","","","","","","",""
"30","EATL","","","","","","","","","","","","","","",""
"31","MED","","","","2","","","30","","","","","","","",""
