"","p","s","t","fr","tr"
"1",NA,3,2,2,2
"2",NA,3,2,2,2
"3",NA,4,2,2,2
"4",NA,3,2,2,2
"5",NA,3,2,2,2
"6",NA,3,2,4,4
"7",NA,4,2,3,4
"8",NA,1,2,4,4
"9",NA,4,2,2,2
"10",NA,4,2,2,2
"11",NA,1,2,2,2
"12",NA,4,2,2,4
"13",NA,3,2,3,2
"14",NA,4,2,2,2
"15",NA,3,2,3,3
"16",NA,3,2,3,2
"17",NA,4,2,2,2
"18",NA,3,2,3,2
"19",NA,4,2,2,2
"20",NA,3,2,3,2
"21",NA,4,2,2,2
"22",1,4,2,7,5
"23",1,4,2,7,7
"24",1,1,2,7,7
"25",1,2,2,7,7
"26",1,4,2,5,7
"27",1,1,2,7,7
"28",1,4,2,7,7
"29",1,4,2,7,7
"30",1,1,2,7,7
"31",1,4,2,7,7
"32",1,1,2,7,7
"33",1,4,2,7,7
"34",1,1,2,7,7
"35",NA,4,2,5,5
"36",NA,1,2,5,5
"37",1,4,2,7,5
"38",1,1,2,5,5
"39",1,4,2,7,7
"40",1,1,2,7,7
"41",NA,3,2,5,5
"42",NA,3,2,5,5
"43",NA,3,2,5,5
"44",NA,3,2,5,5
"45",NA,4,2,5,5
"46",NA,1,2,5,5
"47",NA,2,2,5,5
"48",NA,3,2,5,5
"49",NA,3,2,5,5
"50",NA,3,2,5,5
"51",1,4,2,5,5
"52",1,1,2,5,7
"53",1,4,2,7,5
"54",1,2,2,5,7
"55",NA,2,2,5,5
"56",NA,3,2,5,5
"57",NA,2,2,5,6
"58",NA,2,2,5,5
"59",1,2,2,7,5
"60",1,2,2,7,7
"61",1,3,2,7,7
"62",1,3,2,7,7
"63",1,4,2,7,7
"64",NA,3,2,5,5
"65",NA,3,2,5,5
"66",1,3,2,7,5
"67",1,4,2,5,5
"68",1,1,2,5,5
"69",1,3,2,5,7
"70",1,4,2,7,7
"71",1,3,2,7,5
"72",1,4,2,5,5
"73",1,1,2,5,5
"74",1,2,2,5,5
"75",1,4,2,7,7
